N	K	Solver	Ratio	Runtime	
------------------------------------------------------------
10	2	QBSolv	1.00	0.09	
10	2	Simulated	1.00	0.03	
10	2	Hybrid	1.00	9.96	
10	2	HybridWorkflow	1.00	8.22	
10	2	Gurobi90	1.00	0.01	
20	2	QBSolv	1.00	0.45	
20	2	Simulated	1.00	0.02	
20	2	Hybrid	1.00	15.53	
20	2	HybridWorkflow	1.00	8.00	
20	2	Gurobi90	0.92	0.01	
50	2	QBSolv	1.00	0.96	
50	2	Simulated	1.00	0.07	
50	2	Hybrid	1.00	10.16	
50	2	HybridWorkflow	1.00	9.62	
50	2	Gurobi90	1.00	0.24	
100	2	QBSolv	1.00	1.26	
100	2	Simulated	1.00	0.20	
100	2	Hybrid	1.00	7.87	
100	2	HybridWorkflow	1.00	9.66	
100	2	Gurobi90	1.00	0.05	
200	2	QBSolv	1.00	3.37	
200	2	Simulated	1.00	0.63	
200	2	Hybrid	1.00	11.33	
200	2	HybridWorkflow	1.00	21.19	
200	2	Gurobi90	1.00	0.26	
500	2	QBSolv	0.55	10.00	
500	2	Simulated	0.55	3.88	
500	2	Hybrid	0.55	14.47	
500	2	HybridWorkflow	0.55	41.30	
500	2	Gurobi90	0.96	3.67	
10	4	QBSolv	1.00	1.23	
10	4	Simulated	0.81	0.09	
10	4	Hybrid	0.87	10.74	
10	4	HybridWorkflow	1.00	14.28	
10	4	Gurobi90	0.96	0.02	
20	4	QBSolv	1.00	1.89	
20	4	Simulated	0.80	0.29	
20	4	Hybrid	0.83	10.75	
20	4	HybridWorkflow	1.00	16.51	
20	4	Gurobi90	0.95	0.12	
50	4	QBSolv	1.00	4.70	
50	4	Simulated	0.79	1.69	
50	4	Hybrid	0.84	10.70	
50	4	HybridWorkflow	1.00	23.27	
50	4	Gurobi90	0.91	24.77	
100	4	QBSolv	0.78	8.17	
100	4	Simulated	0.78	5.84	
100	4	Hybrid	0.78	14.79	
100	4	HybridWorkflow	0.78	57.42	
100	4	Gurobi90	0.90	107.20	

10	2	solveQUBOQBSolv	1.00	0.04	
10	2	solveQUBOSimulated	1.00	0.02	
10	2	solveQUBOHybrid	1.00	135.09	
10	2	solveQUBOHybridWorkflow	1.00	11.60	
10	2	solveMaxKCutWithGurobi90	1.00	0.02	
20	2	solveQUBOQBSolv	1.00	0.45	
20	2	solveQUBOSimulated	1.00	0.02	
20	2	solveQUBOHybrid	1.00	198.20	
20	2	solveQUBOHybridWorkflow	1.00	11.02	
20	2	solveMaxKCutWithGurobi90	0.93	0.01	
50	2	solveQUBOQBSolv	1.00	0.95	
50	2	solveQUBOSimulated	1.00	0.07	
50	2	solveQUBOHybrid	1.00	16.36	
50	2	solveQUBOHybridWorkflow	1.00	11.77	
50	2	solveMaxKCutWithGurobi90	1.00	0.01	
100	2	solveQUBOQBSolv	1.00	1.31	
100	2	solveQUBOSimulated	1.00	0.19	
100	2	solveQUBOHybrid	1.00	39.75	
100	2	solveQUBOHybridWorkflow	1.00	13.11	
100	2	solveMaxKCutWithGurobi90	1.00	0.06	
200	2	solveQUBOQBSolv	1.00	4.37	
200	2	solveQUBOSimulated	1.00	0.64	
200	2	solveQUBOHybrid	1.00	55.55	
200	2	solveQUBOHybridWorkflow	1.00	15.69	
200	2	solveMaxKCutWithGurobi90	1.00	0.33	
500	2	solveQUBOQBSolv	0.55	11.33	
500	2	solveQUBOSimulated	0.55	3.96	
500	2	solveQUBOHybrid	0.55	26.27	
500	2	solveQUBOHybridWorkflow	0.55	44.35	
500	2	solveMaxKCutWithGurobi90	0.95	3.94	
10	4	solveQUBOQBSolv	1.00	1.49	
10	4	solveQUBOSimulated	0.82	0.09	
10	4	solveQUBOHybrid	0.86	12.34	
10	4	solveQUBOHybridWorkflow	1.00	15.67	
10	4	solveMaxKCutWithGurobi90	0.92	0.02	
20	4	solveQUBOQBSolv	1.00	1.52	
20	4	solveQUBOSimulated	0.80	0.29	
20	4	solveQUBOHybrid	0.84	13.87	
20	4	solveQUBOHybridWorkflow	1.00	15.55	
20	4	solveMaxKCutWithGurobi90	0.92	0.12	
50	4	solveQUBOQBSolv	1.00	4.89	
50	4	solveQUBOSimulated	0.79	1.65	
50	4	solveQUBOHybrid	0.84	13.87	
50	4	solveQUBOHybridWorkflow	1.00	28.36	
50	4	solveMaxKCutWithGurobi90	0.90	4.31	
100	4	solveQUBOQBSolv	0.77	9.94	
100	4	solveQUBOSimulated	0.77	6.03	
100	4	solveQUBOHybrid	0.77	24.93	
100	4	solveQUBOHybridWorkflow	0.77	62.96	
100	4	solveMaxKCutWithGurobi90	0.91	70.29	
