N	Solver	Ratio	Runtime	
------------------------------------------------------------
10	QBSolv	1.00	0.02	
10	Simulated	1.00	0.01	
10	Hybrid	1.00	193.68	
10	HybridWorkflow	1.00	11.27	
50	QBSolv	1.00	0.92	
50	Simulated	1.00	0.02	
50	Hybrid	1.00	26.00	
50	HybridWorkflow	1.00	10.74	
100	QBSolv	1.00	1.18	
100	Simulated	1.00	0.08	
100	Hybrid	1.00	10.56	
100	HybridWorkflow	1.00	14.31	
200	QBSolv	1.00	1.50	
200	Simulated	1.00	0.31	
200	Hybrid	1.00	10.74	
200	HybridWorkflow	1.00	14.63	
500	QBSolv	1.00	4.09	
500	Simulated	1.00	1.90	
500	Hybrid	1.00	11.03	
500	HybridWorkflow	1.00	24.48	
1000	QBSolv	1.00	10.97	
1000	Simulated	1.00	7.09	
1000	Hybrid	1.00	16.69	
1000	HybridWorkflow	1.00	88.91	
2000	QBSolv	1.00	41.36	
2000	Simulated	1.00	32.26	
2000	Hybrid	1.00	90.95	
2000	HybridWorkflow	1.00	383.96	

N	Solver	Ratio	Runtime	
------------------------------------------------------------
10	Gurobi	1.00	0.01	
10	Gurobi90	0.93	0.00	
50	Gurobi	1.00	0.08	
50	Gurobi90	1.00	0.01	
100	Gurobi	1.00	0.33	
100	Gurobi90	1.00	0.04	
200	Gurobi	1.00	3.64	
200	Gurobi90	1.00	0.21	
500	Gurobi	1.00	118.09	
500	Gurobi90	1.00	3.36	
1000	Gurobi	1.00	1006.68	
1000	Gurobi90	1.00	21.27	

N	Solver	Ratio	Runtime	
------------------------------------------------------------
10	QBSolv	1.00	0.02	
10	Simulated	1.00	0.01	
10	Hybrid	1.00	12.52	
10	HybridWorkflow	1.00	15.31	
10	Gurobi90	1.00	0.00	
20	QBSolv	1.00	0.04	
20	Simulated	1.00	0.01	
20	Hybrid	1.00	7.50	
20	HybridWorkflow	1.00	10.46	
20	Gurobi90	0.91	0.01	
50	QBSolv	1.00	0.99	
50	Simulated	1.00	0.02	
50	Hybrid	1.00	9.91	
50	HybridWorkflow	1.00	11.90	
50	Gurobi90	1.00	0.01	
100	QBSolv	1.00	0.96	
100	Simulated	1.00	0.07	
100	Hybrid	1.00	10.46	
100	HybridWorkflow	1.00	13.70	
100	Gurobi90	1.00	0.04	
200	QBSolv	1.00	1.33	
200	Simulated	1.00	0.28	
200	Hybrid	1.00	8.34	
200	HybridWorkflow	1.00	12.72	
200	Gurobi90	1.00	0.21	
500	QBSolv	1.00	3.81	
500	Simulated	1.00	1.79	
500	Hybrid	1.00	11.49	
500	HybridWorkflow	1.00	25.77	
500	Gurobi90	1.00	3.21	
1000	QBSolv	1.00	12.87	
1000	Simulated	1.00	7.44	
1000	Hybrid	1.00	16.15	
1000	HybridWorkflow	1.00	81.82	
1000	Gurobi90	1.00	21.28	
2000	QBSolv	1.00	42.83	
2000	Simulated	1.00	32.41	
2000	Hybrid	1.00	32.01	
2000	HybridWorkflow	1.00	376.07	
2000	Gurobi90	1.00	169.82	
10	QBSolv	1.00	0.03	
10	Simulated	1.00	0.01	
10	Hybrid	1.00	7.46	
10	HybridWorkflow	1.00	8.98	
10	Gurobi90	1.00	0.00	
20	QBSolv	1.00	0.03	
20	Simulated	1.00	0.01	
20	Hybrid	1.00	8.64	
20	HybridWorkflow	1.00	11.46	
20	Gurobi90	0.96	0.01	
50	QBSolv	1.00	0.85	
50	Simulated	1.00	0.03	
50	Hybrid	1.00	11.18	
50	HybridWorkflow	1.00	10.44	
50	Gurobi90	1.00	0.01	
100	QBSolv	1.00	0.90	
100	Simulated	1.00	0.07	
100	Hybrid	1.00	10.45	
100	HybridWorkflow	1.00	10.79	
100	Gurobi90	1.00	0.04	
200	QBSolv	1.00	1.19	
200	Simulated	1.00	0.28	
200	Hybrid	1.00	10.53	
200	HybridWorkflow	1.00	12.46	
200	Gurobi90	1.00	0.22	
500	QBSolv	1.00	3.65	
500	Simulated	1.00	1.72	
500	Hybrid	1.00	12.38	
500	HybridWorkflow	1.00	26.98	
500	Gurobi90	1.00	3.50	
1000	QBSolv	1.00	12.61	
1000	Simulated	1.00	7.18	
1000	Hybrid	1.00	16.07	
1000	HybridWorkflow	1.00	82.60	
1000	Gurobi90	1.00	20.98	
2000	QBSolv	1.00	46.80	
2000	Simulated	1.00	31.56	
2000	Hybrid	1.00	33.27	
2000	HybridWorkflow	1.00	367.03	
2000	Gurobi90	1.00	171.13	

20|solveQUBOQBSolv          |  1.00|   0.04|
20|solveQUBOSimulated       |  1.00|   0.01|
20|solveQUBOHybrid          |  1.00|  14.80|
20|solveQUBOHybridWorkflow  |  1.00|  12.77|
20|solveMaxCutWithGurobi90  |  0.92|   0.02|
