  N  |         Solver          |Ratio |Runtime|
------------------------------------------------------------
   10|solveQUBOQBSolv          |  1.00|   0.02|
   10|solveQUBOSimulated       |  1.00|   0.01|
   10|solveMinCutWithFlow      |  1.00|   0.00|
   20|solveQUBOQBSolv          |  1.00|   0.03|
   20|solveQUBOSimulated       |  1.00|   0.01|
   20|solveMinCutWithFlow      |  1.00|   0.01|
   50|solveQUBOQBSolv          |  1.00|   0.84|
   50|solveQUBOSimulated       |  1.00|   0.04|
   50|solveMinCutWithFlow      |  1.00|   0.06|
  100|solveQUBOQBSolv          |  1.00|   1.27|
  100|solveQUBOSimulated       |  1.00|   0.12|
  100|solveMinCutWithFlow      |  1.00|   0.26|
  200|solveQUBOQBSolv          |  1.00|   1.41|
  200|solveQUBOSimulated       |  1.00|   0.45|
  200|solveMinCutWithFlow      |  1.00|   1.05|
  500|solveQUBOQBSolv          |  1.00|   5.99|
  500|solveQUBOSimulated       |  1.00|   2.19|
  500|solveMinCutWithFlow      |  1.00|   7.31|
 1000|solveQUBOQBSolv          |  1.00|  12.16|
 1000|solveQUBOSimulated       |  1.00|   8.32|
 1000|solveMinCutWithFlow      |  1.00|  34.72|
 2000|solveQUBOQBSolv          |  0.00|  45.61|
 2000|solveQUBOSimulated       |  0.00|  32.67|
 2000|solveMinCutWithFlow      |  1.00| 156.05|
 
  N  |         Solver          |Ratio |Runtime|
------------------------------------------------------------
   10|solveQUBOQBSolv          |  1.00|   0.03|
   10|solveQUBOSimulated       |  1.00|   0.01|
   10|solveQUBOHybrid          |  1.00|  11.17|
   10|solveQUBOHybridWorkflow  |  1.00|  11.61|
   10|solveMinCutWithFlow      |  1.00|   0.01|
   20|solveQUBOQBSolv          |  1.00|   0.04|
   20|solveQUBOSimulated       |  1.00|   0.01|
   20|solveQUBOHybrid          |  1.00|   7.05|
   20|solveQUBOHybridWorkflow  |  1.10|   9.98|
   20|solveMinCutWithFlow      |  1.00|   0.01|
   50|solveQUBOQBSolv          |  1.00|   0.78|
   50|solveQUBOSimulated       |  1.00|   0.05|
   50|solveQUBOHybrid          |  1.00|   6.20|
   50|solveQUBOHybridWorkflow  |  2.26|  16.61|
   50|solveMinCutWithFlow      |  1.00|   0.09|
  100|solveQUBOQBSolv          |  1.00|   1.00|
  100|solveQUBOSimulated       |  1.00|   0.12|
  100|solveQUBOHybrid          |  1.00|   6.45|
  100|solveQUBOHybridWorkflow  |  2.30|  16.69|
  100|solveMinCutWithFlow      |  1.00|   0.53|
  200|solveQUBOQBSolv          |  1.00|   1.54|
  200|solveQUBOSimulated       |  1.00|   0.41|
  200|solveQUBOHybrid          |  1.00|   6.43|
  200|solveQUBOHybridWorkflow  |  2.27|  13.38|
  200|solveMinCutWithFlow      |  1.00|   1.02|
  500|solveQUBOQBSolv          |  1.00|   4.79|
  500|solveQUBOSimulated       |  1.00|   2.20|
  500|solveQUBOHybrid          |  1.00|   7.26|
  500|solveQUBOHybridWorkflow  |  2.42|  24.85|
  500|solveMinCutWithFlow      |  1.00|   7.92|
 1000|solveQUBOQBSolv          |  1.00|  11.98|
 1000|solveQUBOSimulated       |  1.00|   8.10|
 1000|solveQUBOHybrid          |  1.00|  10.33|
 1000|solveQUBOHybridWorkflow  |  2.23|  87.53|
 1000|solveMinCutWithFlow      |  1.00|  33.55|
 2000|solveQUBOQBSolv          |  0.00|  83.16|
 2000|solveQUBOSimulated       |  0.00|  31.64|
 2000|solveQUBOHybrid          |  0.00|  27.43|
 2000|solveQUBOHybridWorkflow  |  0.00| 253.85|
 2000|solveMinCutWithFlow      |  1.00| 148.29|
   10|solveQUBOQBSolv          |  1.00|   0.01|
   10|solveQUBOSimulated       |  1.00|   0.01|
   10|solveQUBOHybrid          |  1.00|   8.40|
   10|solveQUBOHybridWorkflow  |  1.00|   6.53|
   10|solveMinCutWithFlow      |  1.00|   0.00|
   20|solveQUBOQBSolv          |  1.00|   0.03|
   20|solveQUBOSimulated       |  1.00|   0.01|
   20|solveQUBOHybrid          |  1.00|   6.21|
   20|solveQUBOHybridWorkflow  |  1.00|  11.30|
   20|solveMinCutWithFlow      |  1.00|   0.02|
   50|solveQUBOQBSolv          |  1.00|   0.83|
   50|solveQUBOSimulated       |  1.00|   0.05|
   50|solveQUBOHybrid          |  1.00|   7.03|
   50|solveQUBOHybridWorkflow  |  2.60|  12.22|
   50|solveMinCutWithFlow      |  1.00|   0.08|
  100|solveQUBOQBSolv          |  1.00|   1.20|
  100|solveQUBOSimulated       |  1.00|   0.13|
  100|solveQUBOHybrid          |  1.00|   6.30|
  100|solveQUBOHybridWorkflow  |  2.25|  12.86|
  100|solveMinCutWithFlow      |  1.00|   0.76|
  200|solveQUBOQBSolv          |  1.00|   1.29|
  200|solveQUBOSimulated       |  1.00|   0.41|
  200|solveQUBOHybrid          |  1.00|   6.62|
  200|solveQUBOHybridWorkflow  |  2.15|  13.75|
  200|solveMinCutWithFlow      |  1.00|   1.00|
  500|solveQUBOQBSolv          |  1.00|   5.33|
  500|solveQUBOSimulated       |  1.00|   2.17|
  500|solveQUBOHybrid          |  1.00|   8.03|
  500|solveQUBOHybridWorkflow  |  2.31|  26.89|
  500|solveMinCutWithFlow      |  1.00|   7.72|
 1000|solveQUBOQBSolv          |  1.00|  15.81|
 1000|solveQUBOSimulated       |  1.00|   8.28|
 1000|solveQUBOHybrid          |  1.00|  11.54|
 1000|solveQUBOHybridWorkflow  |  2.24|  84.44|
 1000|solveMinCutWithFlow      |  1.00|  33.27|
 2000|solveQUBOQBSolv          |  0.00|  49.02|
 2000|solveQUBOSimulated       |  0.00|  32.27|
 2000|solveQUBOHybrid          |  0.00|  26.15|
 2000|solveQUBOHybridWorkflow  |  0.00| 275.69|
 2000|solveMinCutWithFlow      |  1.00| 155.78|
   10|solveQUBOQBSolv          |  1.00|   0.02|
   10|solveQUBOSimulated       |  1.00|   0.01|
   10|solveQUBOHybrid          |  1.00|  10.73|
   10|solveQUBOHybridWorkflow  |  1.00|   7.23|
   10|solveMinCutWithFlow      |  1.00|   0.00|
   20|solveQUBOQBSolv          |  1.00|   0.04|
   20|solveQUBOSimulated       |  1.00|   0.01|
   20|solveQUBOHybrid          |  1.00|   6.88|
   20|solveQUBOHybridWorkflow  |  1.00|  12.77|
   20|solveMinCutWithFlow      |  1.00|   0.01|
   50|solveQUBOQBSolv          |  1.00|   0.87|
   50|solveQUBOSimulated       |  1.00|   0.04|
   50|solveQUBOHybrid          |  1.00|   6.38|
   50|solveQUBOHybridWorkflow  |  2.69|  11.44|
   50|solveMinCutWithFlow      |  1.00|   0.08|
  100|solveQUBOQBSolv          |  1.00|   0.94|
  100|solveQUBOSimulated       |  1.00|   0.13|
  100|solveQUBOHybrid          |  1.00|   5.88|
  100|solveQUBOHybridWorkflow  |  2.47|  12.60|
  100|solveMinCutWithFlow      |  1.00|   0.25|
  200|solveQUBOQBSolv          |  1.00|   1.46|
  200|solveQUBOSimulated       |  1.00|   0.44|
  200|solveQUBOHybrid          |  1.00|   6.51|
  200|solveQUBOHybridWorkflow  |  2.09|  13.70|
  200|solveMinCutWithFlow      |  1.00|   1.08|
  500|solveQUBOQBSolv          |  1.00|   5.22|
  500|solveQUBOSimulated       |  1.00|   2.29|
  500|solveQUBOHybrid          |  1.00|   7.05|
  500|solveQUBOHybridWorkflow  |  2.26|  28.11|
  500|solveMinCutWithFlow      |  1.00|   8.94|
 1000|solveQUBOQBSolv          |  1.00|  16.99|
 1000|solveQUBOSimulated       |  1.00|   8.45|
 1000|solveQUBOHybrid          |  1.00|  11.30|
 1000|solveQUBOHybridWorkflow  |  2.21|  85.61|
 1000|solveMinCutWithFlow      |  1.00|  33.74|
 2000|solveQUBOQBSolv          |  0.00|  43.91|
 2000|solveQUBOSimulated       |  0.00|  33.26|
 2000|solveQUBOHybrid          |  0.00|  27.23|
 2000|solveQUBOHybridWorkflow  |  0.00| 266.26|
 2000|solveMinCutWithFlow      |  1.00| 159.67|
